"","cty","year","e","alpha","treat","treatdummy","ay","y","decile","berkson_error","berkson_noise","y_b"
"1",1,1,0.680889556319902,-0.149371810253807,29,0,-0.149371810253807,0.531517746066095,7,-0.0625,-0.03661187940486,0.432405866661235
"2",1,2,-0.0334914712323591,-0.149371810253807,29,0,-0.298743620507614,-0.332235091739973,5,0,-0.00784391017720964,-0.340079001917183
"3",1,3,-1.35602712140219,-0.149371810253807,29,0,-0.448115430761421,-1.80414255216361,2,0.1875,-0.0605044403962966,-1.67714699255991
"4",1,4,-0.560131243852589,-0.149371810253807,29,0,-0.597487241015228,-1.15761848486782,3,0.125,0.00914080989652375,-1.02347767497129
"5",1,5,-1.38897737376571,-0.149371810253807,29,0,-0.746859051269035,-2.13583642503474,2,0.1875,-0.0177241962904265,-1.96606062132517
"6",1,6,0.194277062098673,-0.149371810253807,29,0,-0.896230861522842,-0.701953799424169,4,0.0625,0.12530400822882,-0.514149791195349
"7",1,7,1.66705726699863,-0.149371810253807,29,0,-1.04560267177665,0.621454595221982,7,-0.0625,-0.0461653757005641,0.512789219521418
"8",1,8,-1.25363980063866,-0.149371810253807,29,0,-1.19497448203046,-2.44861428266912,1,0.25,0.144237394273013,-2.0543768883961
"9",1,9,0.0213819245046084,-0.149371810253807,29,0,-1.34434629228426,-1.32296436777965,3,0.125,0.0163558907392872,-1.18160847704037
"10",1,10,0.0829293558472157,-0.149371810253807,29,0,-1.49371810253807,-1.41078874669085,3,0.125,0.016335277814638,-1.26945346887622
"11",1,11,-0.215440685280496,-0.149371810253807,29,0,-1.64308991279188,-1.85853059807237,2,0.1875,0.0596403055659802,-1.61139029250639
"12",1,12,-1.19204966838219,-0.149371810253807,29,0,-1.79246172304568,-2.98451139142788,1,0.25,0.161390164397435,-2.57312122703044
"13",1,13,-0.895779693591538,-0.149371810253807,29,0,-1.94183353329949,-2.83761322689103,1,0.25,0.0152018644121367,-2.57241136247889
"14",1,14,1.6142339913579,-0.149371810253807,29,0,-2.0912053435533,-0.476971352195398,5,0,0.0205895660433153,-0.456381786152083
"15",1,15,1.36335178170223,-0.149371810253807,29,0,-2.2405771538071,-0.877225372104873,4,0.0625,-0.0929471638510644,-0.907672535955937
"16",1,16,-1.21229121016737,-0.149371810253807,29,0,-2.38994896406091,-3.60224017422828,1,0.25,0.13379352061263,-3.21844665361565
"17",1,17,-0.320766766328534,-0.149371810253807,29,0,-2.53932077431472,-2.86008754064325,1,0.25,-0.156727484434465,-2.76681502507772
"18",1,18,1.45999695169905,-0.149371810253807,29,0,-2.68869258456852,-1.22869563286948,3,0.125,0.0822962032794124,-1.02139942959007
"19",1,19,-1.90271091296166,-0.149371810253807,29,0,-2.83806439482233,-4.74077530778399,1,0.25,0.0368487467019552,-4.45392656108204
"20",1,20,-1.06669285980915,-0.149371810253807,29,0,-2.98743620507614,-4.05412906488528,1,0.25,0.0817541159140551,-3.72237494897123
"21",1,21,-0.40324730759076,-0.149371810253807,29,0,-3.13680801532995,-3.54005532292071,1,0.25,0.200670694736866,-3.08938462818384
"22",1,22,1.17334334413684,-0.149371810253807,29,0,-3.28617982558375,-2.11283648144691,2,0.1875,-0.119374718978554,-2.04471120042546
"23",2,1,-0.401327897058406,-0.138870167788426,0,0,-0.138870167788426,-0.540198064846832,4,0.0625,-0.144644930164101,-0.622342995010932
"24",2,2,-2.08240247362924,-0.138870167788426,0,0,-0.277740335576852,-2.36014280920609,1,0.25,-0.0338364204500416,-2.14397922965613
"25",2,3,-0.337444415437499,-0.138870167788426,0,0,-0.416610503365278,-0.754054918802777,4,0.0625,-0.121446787874757,-0.813001706677534
"26",2,4,0.249314996444975,-0.138870167788426,0,0,-0.555480671153704,-0.306165674708728,5,0,0.123881826574823,-0.182283848133905
"27",2,5,0.454581047662205,-0.138870167788426,0,0,-0.69435083894213,-0.239769791279924,5,0,-0.128509022256615,-0.36827881353654
"28",2,6,0.257953808134017,-0.138870167788426,0,0,-0.833221006730556,-0.575267198596538,4,0.0625,0.00814930265352239,-0.504617895943016
"29",2,7,-0.512648440871962,-0.138870167788426,0,0,-0.972091174518982,-1.48473961539094,2,0.1875,0.0465937448133705,-1.25064587057757
"30",2,8,-0.476176365937733,-0.138870167788426,0,0,-1.11096134230741,-1.58713770824514,2,0.1875,-0.0101819602821309,-1.40981966852727
"31",2,9,0.783006025552903,-0.138870167788426,0,0,-1.24983151009583,-0.46682548454293,5,0,0.0249998362563707,-0.441825648286559
"32",2,10,0.0437363068080203,-0.138870167788426,0,0,-1.38870167788426,-1.34496537107624,3,0.125,-0.105267315055481,-1.32523268613172
"33",2,11,0.499608958451328,-0.138870167788426,0,0,-1.52757184567269,-1.02796288722136,3,0.125,0.130089350289946,-0.77287353693141
"34",2,12,-0.165679060528186,-0.138870167788426,0,0,-1.66644201346111,-1.8321210739893,2,0.1875,0.0764577136277749,-1.56816336036152
"35",2,13,-0.73202677649963,-0.138870167788426,0,0,-1.80531218124954,-2.53733895774917,1,0.25,-0.00705004462827481,-2.29438900237744
"36",2,14,0.0408388429821316,-0.138870167788426,0,0,-1.94418234903796,-1.90334350605583,2,0.1875,0.022599601371111,-1.69324390468472
"37",2,15,0.826284291024715,-0.138870167788426,0,0,-2.08305251682639,-1.25676822580167,3,0.125,-0.221210570471352,-1.35297879627303
"38",2,16,0.901487557646226,-0.138870167788426,0,0,-2.22192268461481,-1.32043512696859,3,0.125,-0.073398619455507,-1.2688337464241
"39",2,17,0.740741887489069,-0.138870167788426,0,0,-2.36079285240324,-1.62005096491417,2,0.1875,0.00525648250568103,-1.42729448240849
"40",2,18,1.0403315679482,-0.138870167788426,0,0,-2.49966302019167,-1.45933145224347,2,0.1875,-0.0189610834103485,-1.29079253565381
"41",2,19,1.12190938487565,-0.138870167788426,0,0,-2.63853318798009,-1.51662380310444,2,0.1875,0.110729532027453,-1.21839427107699
"42",2,20,-0.0331641043629522,-0.138870167788426,0,0,-2.77740335576852,-2.81056746013147,1,0.25,-0.0351845348544704,-2.59575199498594
"43",2,21,0.635269914265964,-0.138870167788426,0,0,-2.91627352355694,-2.28100360929098,1,0.25,0.0807411910482118,-1.95026241824277
"44",2,22,-0.199699790276998,-0.138870167788426,0,0,-3.05514369134537,-3.25484348162237,1,0.25,-0.0785447740458687,-3.08338825566824
"45",3,1,-0.00664424291387613,-0.00772759925150043,25,0,-0.00772759925150043,-0.0143718421653766,6,0,0.037444476817933,0.0230726346525564
"46",3,2,-1.0811322439775,-0.00772759925150043,25,0,-0.0154551985030009,-1.0965874424805,3,0.125,0.0806725295609211,-0.890914912919583
"47",3,3,-0.872001066324931,-0.00772759925150043,25,0,-0.0231827977545013,-0.895183864079432,4,0.0625,-0.00696432542768477,-0.839648189507117
"48",3,4,-0.30058438917762,-0.00772759925150043,25,0,-0.0309103970060017,-0.331494786183622,5,0,-0.0261945028003024,-0.357689288983925
"49",3,5,1.44025213102887,-0.00772759925150043,25,0,-0.0386379962575021,1.40161413477136,9,-0.1875,0.134910538961752,1.34902467373312
"50",3,6,0.532148565203722,-0.00772759925150043,25,0,-0.0463655955090026,0.485782969694719,7,-0.0625,-0.0673323217561442,0.355950647938575
"51",3,7,0.994161198506446,-0.00772759925150043,25,0,-0.054093194760503,0.940068003745943,8,-0.125,-0.0205253130225012,0.794542690723442
"52",3,8,-1.7983620699284,-0.00772759925150043,25,0,-0.0618207940120034,-1.86018286394041,2,0.1875,-0.00473823228025909,-1.67742109622066
"53",3,9,1.33617702397309,-0.00772759925150043,25,0,-0.0695483932635039,1.26662863070958,8,-0.125,-0.223720510375835,0.917908120333747
"54",3,10,0.139144839832729,-0.00772759925150043,25,0,-0.0772759925150043,0.0618688473177252,6,0,0.00536030979983669,0.0672291571175619
"55",3,11,0.814137913689283,-0.00772759925150043,25,0,-0.0850035917665047,0.729134321922778,7,-0.0625,-0.102745252563473,0.563889069359306
"56",3,12,0.729718043229491,-0.00772759925150043,25,0,-0.0927311910180051,0.636986852211486,7,-0.0625,0.0145115300236696,0.588998382235155
"57",3,13,-1.16003695438497,-0.00772759925150043,25,0,-0.100458790269506,-1.26049574465448,3,0.125,0.0523478890451831,-1.08314785560929
"58",3,14,0.969455145758548,-0.00772759925150043,25,0,-0.108186389521006,0.861268756237542,8,-0.125,0.0175338460746479,0.75380260231219
"59",3,15,-1.6823072827435,-0.00772759925150043,25,0,-0.115913988772506,-1.79822127151601,2,0.1875,0.00799623388257204,-1.60272503763344
"60",3,16,-0.50571515011603,-0.00772759925150043,25,0,-0.123641588024007,-0.629356738140037,4,0.0625,0.0415474031191518,-0.525309335020885
"61",3,17,1.16311293995687,-0.00772759925150043,25,0,-0.131369187275507,1.03174375268136,8,-0.125,-0.0199645588991793,0.886779193782179
"62",3,18,-2.92534096582946,-0.00772759925150043,25,0,-0.139096786527008,-3.06443775235647,1,0.25,0.0270101826012221,-2.78742756975524
"63",3,19,0.418299295179271,-0.00772759925150043,25,0,-0.146824385778508,0.271474909400763,6,0,0.0548624797320518,0.326337389132815
"64",3,20,-0.0951668521355999,-0.00772759925150043,25,0,-0.154551985030009,-0.249718837165608,5,0,-0.00117903457055827,-0.250897871736167
"65",3,21,-0.156891004135176,-0.00772759925150043,25,0,-0.162279584281509,-0.319170588416684,5,0,0.0902512108801623,-0.228919377536522
"66",3,22,0.198784328658638,-0.00772759925150043,25,0,-0.170007183533009,0.0287771451256285,6,0,0.0725330939173615,0.10131023904299
"67",4,1,-0.72938904904254,0.117321441274413,0,0,0.117321441274413,-0.612067607768126,4,0.0625,-0.035665122174729,-0.585232729942855
"68",4,2,-1.24499714831478,0.117321441274413,0,0,0.234642882548827,-1.01035426576595,3,0.125,0.0749287710064943,-0.810425494759456
"69",4,3,-1.69243400219166,0.117321441274413,0,0,0.35196432382324,-1.34046967836842,3,0.125,-0.0169148123083292,-1.23238449067675
"70",4,4,0.640218750493805,0.117321441274413,0,0,0.469285765097654,1.10950451559146,8,-0.125,-0.207147527707143,0.777356987884315
"71",4,5,-0.807704064676715,0.117321441274413,0,0,0.586607206372067,-0.221096858304648,5,0,-0.140359882971027,-0.361456741275676
"72",4,6,1.01041906658234,0.117321441274413,0,0,0.703928647646481,1.71434771422882,9,-0.1875,-0.0381666083695001,1.48868110585932
"73",4,7,-0.397245752098326,0.117321441274413,0,0,0.821250088920894,0.424004336822568,7,-0.0625,0.0761117299657265,0.437616066788295
"74",4,8,1.37896724254017,0.117321441274413,0,0,0.938571530195307,2.31753877273548,10,-0.25,-0.120762332287966,1.94677644044751
"75",4,9,-0.859528622020359,0.117321441274413,0,0,1.05589297146972,0.196364349449362,6,0,-0.114530252410457,0.0818340970389048
"76",4,10,-0.621886283084669,0.117321441274413,0,0,1.17321441274413,0.551328129659465,7,-0.0625,-0.0841291064126904,0.404699023246775
"77",4,11,0.0100129884933383,0.117321441274413,0,0,1.29053585401855,1.30054884251189,8,-0.125,-0.125227927290335,1.05032091522155
"78",4,12,-1.63809990994444,0.117321441274413,0,0,1.40785729529296,-0.230242614651477,5,0,-0.11162933082819,-0.341871945479667
"79",4,13,-0.676755535847904,0.117321441274413,0,0,1.52517873656737,0.848423200719471,8,-0.125,0.0432305632704851,0.766653763989956
"80",4,14,-0.494022242762997,0.117321441274413,0,0,1.64250017784179,1.14847793507879,8,-0.125,-0.0535393383419647,0.969938596736827
"81",4,15,0.604984443786523,0.117321441274413,0,0,1.7598216191162,2.36480606290272,10,-0.25,-0.0953037323093284,2.0195023305934
"82",4,16,0.355390053541464,0.117321441274413,0,0,1.87714306039061,2.23253311393208,10,-0.25,0.226822078233084,2.20935519216516
"83",4,17,-0.516240431291417,0.117321441274413,0,0,1.99446450166503,1.47822407037361,9,-0.1875,0.149469373727537,1.44019344410115
"84",4,18,-2.71367789238835,0.117321441274413,0,0,2.11178594293944,-0.601891949448909,4,0.0625,-0.0186886178037421,-0.558080567252651
"85",4,19,-0.194895736628949,0.117321441274413,0,0,2.22910738421385,2.03421164758491,9,-0.1875,0.0680858015654055,1.91479744915031
"86",4,20,-1.5527962302008,0.117321441274413,0,0,2.34642882548827,0.793632595287465,7,-0.0625,0.131741928567894,0.862874523855359
"87",4,21,0.298321843282829,0.117321441274413,0,0,2.46375026676268,2.76207211004551,10,-0.25,0.061165594717287,2.5732377047628
"88",4,22,-0.972913843331326,0.117321441274413,0,0,2.5810717080371,1.60815786470577,9,-0.1875,-0.0107989381849252,1.40985892652084
